# AUTO_GENERATED_BY_TFM2_META_DASHBOARD
# Do not hand-edit unless you intentionally want to override dashboard meta scoring.
# Generated: 2026-06-08T21:16:07
# Save: -
# Source: tournament all patches
# Patch: all
# Scope: tournament
# Region: all
# Role: all
# Model: tfm2gg-meta-v1
# Preset: classic weights={"draftPressure": 0.16, "lowerPressure": 0.12, "lowerStrength": 0.88, "strength": 0.84}
# PolicyPresetSource: dashboard setting
# Sample: early min=5 reason=0 matches
# SampleVolume: 0.0
# PatchGate: mode=sampleGate decision=awaiting_sample source=candidate_no_sample mature=False
# RequestedPatch: all
# EffectivePatch: all
# HoldReason: sample 0/100, eligible 0/27; no mature tournament policy source exists
# GateMetrics: matches=0.0 min=100 fallback=50 eligible=0/60 required=27
# WinPrior: mean=50.0 kappa=24.0
# BaselinePresence: 0.1
# PolicyKind: championTier
# OverallSemantic: dashboard_meta_tier_for_in_game_sabcd_no
# OverallNote: overall is an S/A/B/C/D anchor for the native tier addon; No leaves overall blank and is applied as explicit NoTier for active champions.
# OverallAnchors: {"A": 75.0, "B": 62.0, "C": 50.0, "D": 35.0, "S": 90.0}
# NativeBiasFormula: -
# Format: champion_id<TAB>tier<TAB>overall
# For No tier, overall is omitted and the native addon writes an explicit NoTier entry.
# Non-eligible or low-sample champions are emitted as No with blank overall.
# champion_id	tier	overall
hitman	No
vampire	No
dark_mage	No
illusionist	No
pyromancer	No
bomber	No
gunner	No
executioner	No
whip_master	No
lancer	No
hammerer	No
prisoner	No
spirit_caller	No
enchanter	No
inquisitor	No
bard	No
ghost	No
chef	No
ogre	No
plague_doctor	No
exorcist	No
ice_mage	No
android	No
demon	No
guardian_spirit	No
soldier	No
priest	No
hunter	No
boomerang_hunter	No
voodoo_shaman	No
pole_warrior	No
lightning_mage	No
white_mage	No
shield_bearer	No
wind_mage	No
dancer	No
pythoness	No
monk	No
magic_knight	No
druid	No
dual_blader	No
poison_dart_hunter	No
taoist	No
gambler	No
dokkaebi	No
ninja	No
werewolf	No
necromancer	No
knight	No
cavalry_knight	No
shadowmancer	No
archer	No
berserker	No
clown	No
siege_breaker	No
circus_blade	No
barrier_magician	No
fighter	No
swordman	No
jiangshi	No
